Subject_new,body_clean,topic_embed,topic_label,manual_label
FW Mgmt Summary Hot List,attached egm management summary hot list contact questionscomments,0,Meeting Feedback,Report / Summary
Markwest Hydrocarbon Inc,samantha markwest hydrocarbon currently old master agreement global want contract inactive terminated new isda agreement established,0,Meeting Feedback,Legal / Compliance
,mom know feels things start building like im finding time really way cope especially holidays dont worry getting upset right really sorry havent helped annas finances ive felt overwhelmed just making work everyday havent managed fit just think getting things like lose glasses takes priority thought finally able word im typing moment ithe madness neverending hope comforting know anymore kate,0,Meeting Feedback,Finance / Budget
FW Data Room Index,provide clean copies licenses angela referring need come pick copy,0,Meeting Feedback,Report / Summary
More JCC,historical context forwarded kevin kindallcorpenron pm kevin kindall russell dykcorpenronenron cc subject jcc writeup forwarded kevin kindallcorpenron kevin kindall pm james pykeapenronenron cc subject jcc writeup results sent marc la rouche answers questions yes mentioned earlier ill send complete analysis explanations tomorrow incidentally list contacts regarding lng jcc bit dated prove useful clay harris lng houston brad hitch lng houston marc la roche global fuels houston victor santos global fuels singapore li yin lim global fuels singapore vv rao lng singapore kevin kindall forwarded kevin kindallcorpenron pm marc la roche ect pm kevin kindallcorpenronenron cc grant massonhouectect vince j kaminskihouectect subject jcc brent kevin,0,Meeting Feedback,Legal / Compliance
Draft letter Glenn McCullough Jr Candidate for TVA Chairman,forwarded ginger dernehlnaenron pm lora sullivan pm ginger dernehlnaenronenron cc subject draft letter glenn mccullough jr candidate tva chairman ginger linda thought sent draft letter ken lay clay johnson glenn mcculloughs serving chairman tva rick locate sent documents lotus notes file hope good weekend really summer weekend weve glorious suspect familiar summer houston l,0,Meeting Feedback,Legal / Compliance
FW NDA Aspen Technologies,peter trying catch facsimile original final nda appears did receive fax friday seen forwarded signed document check advise,0,Meeting Feedback,Legal / Compliance
FW Increased Security at Enron Center,original message enron announcementscorpenronenron behalf corporate securityenron sent friday october enron houstonenron subject increased security enron center late october th received information nonspecific threat enron center communicated law enforcement officials threat unsubstantiated merit nonetheless threats seriously increased security presence enron center observe suspicious behavior security,0,Meeting Feedback,HR / Personal
Turbines,obviously going complicate increase cost transaction way push need break contracts sets document sets assigning docs turbopark hard challenge time frame kay stephen thomeect ccampbellkslawcom jkefferkslawcom carlos solenaenronenron kay manncorpenronenron cc subject turbines catherine john just received panda regarding project company structure forwarded stephen thomehouect lori holt lorihpandaenergycom stephenthomeenroncom cc jimmy teringo jimmytdallaspandapandaenergycom subject turbines steve correct assumptions turbine different lps panda west power lp panda west power ii lp panda west poweriii lp panda west power iv lp advise additional questions regards lori,0,Meeting Feedback,Finance / Budget
Cargill,working master cargill debra perlingiere enron north america corp legal department smith street eb houston texas dperlinenroncom phone fax,0,Meeting Feedback,Legal / Compliance
ABBGE,attched revised abb agreement forwarded kathleen carnahannaenron pm kathleen carnahan pm kay manncorpenronenron cc pthompsonakllpcom ccobbakllpcom subject abbge attached revised abb agreement exhibit b exhibit b irrelevant data sheets deleted document signed abb kay mann pm pthompsonakllpcom ccobbakllpcom cc kathleen carnahannaenronenron subject abbge abb ge agreements caed signed abb ge revision abb agreement deleting irrelevant data sheets kathleen carnahan send,0,Meeting Feedback,Report / Summary
New York Hotel,im curious kay mannenron pm suzanne adamshouectect cc subject new york hotel ask question blue suzanne adamsect pm kay manncorpenronenron cc subject new york hotel ask question knew answer kay mannenron pm suzanne adamshouectect cc subject new york hotel ask question usually heard rumor did hear suzanne adamsect pm kay manncorpenronenron cc subject new york hotel new york hilton sounds good location good paying dont want spend fortune emailed nellie klaubergs office recommendationsconnections know make sure bills paid going doing business vacation days im going charge just dont think thats right guys new additions group kay mannenron pm suzanne adamshouectect cc sheilatweedenroncomect danlyonsenroncomect subject new york hotel stayed current favorite omni favorite locations little deli like shop street buy reasonably priced bagels cokes year stayed marriott marquis big right times square mark snooty stayed places didnt like names escape ive seen smaller hotels look nice check map remember names kay suzanne adamsect pm sheilatweedenroncom danlyonsenroncom kaymannenroncom cc subject new york hotel guys know mayflower looking hotel new york christmas forwarded suzanne adamshouect pm doherty ric ricdohertycompaqcom pm suzanne adams doherty email suzanneadamsenroncom cc subject new york hotel people know placeit pam scott stayed really liked itrecommended brysch ,0,Meeting Feedback,Finance / Budget
NOAA Letter,attached final draft approved jim fallon lynda clemmons followup letter commerce secretary daley ken lay discussing enrons concerns weather data services provided noaa ken lay office tomorrow sign hes delivery secretary daley ccs tomorrow jeff,0,Meeting Feedback,Legal / Compliance
,welcome like doc sign accepted remarks debra perlingiere enron north america corp legal department smith street eb houston texas dperlinenroncom phone fax,0,Meeting Feedback,Legal / Compliance
Brazilian Regulations for Swaps Prepays,sara attached memo received tozzini freire yesterday notice memo addresses gustavos questions corrects certain assumptions email sara shackletonect pm andrea bertoneenrondevelopmentenrondevelopment cc brent hendryenrondevelopmentenrondevelopment subject brazilian regulations swaps prepays help understand tozzini memoranda exist address financial swaps derivatives emailed michael attachment think response antonio felix added comments attachment clear aware tozzini memos dated physical trading energy local derivatives market lets start point,0,Meeting Feedback,Legal / Compliance
Tracking Legal Text Changes,agree electronic tracking things good idea electronic manual admissable electronic strikes reliable im concerned witht effectiveness notification clear adding line ticker satisfactory fact clearly satisfactory changes eta gtc documents clicked changes remaining question highlight changes significant gray area changes long descriptions david forsterenron jay webbhouectect mark taylorhouectect mark dilworthlonectect sheri thomashouectect amita gosalialonectect dale neunerhouectect cc subject tracking legal text changes important track given notification parties changes long descriptions gtceta wording standard form eta does contain notice requirements modified parties say notice regardless obligated eta notice important prove ensure internal log change notifications dates text jaymark developed notification process electronic log particular ticker item appeared removed website assume sort built text field account possible multiple addtions removals simple hard reliable manual log generated manually hopefully admissable court mark comment sheriamitadale solution ensure coordinate sort manually maintained notice log,0,Meeting Feedback,Legal / Compliance
Barclays Confirmation,cordially mary cook enron north america corp smith th floor legal houston texas fax marycookenroncom,0,Meeting Feedback,Legal / Compliance
Sunday at,forwarded kay manncorpenron pm dan lyonsect pm kay manncorpenronenron rstephensbracepattcom cc subject sunday dinner ish sundayrob know therekay test onstarregistered trademark systemthe address crestwood houston onstarregistered trademark fails telepone unlisted number rescue gifts pleasedress danjoe casualand know means regards rob xoxoxo kay,0,Meeting Feedback,Legal / Compliance
Prepaid Contracts,files carols mary picked yosemite mark handled tana jones taffy milliganhouectect cc sara shackletonhouectect subject prepaid contracts taffy finance deals sara worked work copies isda masters guy audit group check lotus notes blue files check wsara forwarded tana joneshouect brad lawson pm tanajonesenroncom cc subject prepaid contracts tana listing discussed chase iii chase mahonia iii chase iv delta rosevelt truman jethro yosemite bridge yosemite yosemite ii yosemite iii questions just im located x eba,0,Meeting Feedback,Finance / Budget
,kim address hr website old pay stubs im trying sort parking situation thanx chris,0,Meeting Feedback,HR / Personal
Unanimous Consent of Directors,customary prepare unanimous consents directors transactions actions required relevant bylaws andor certificate incorporation consider carefully unanimous consents directors necessary appropriate particular transaction transaction significant transaction evidence authority required legal opinion doubt review bylaws certificate incorporation relevant entity discuss matter member office general counsel thank,0,Meeting Feedback,Legal / Compliance
Proposed contract language,dan worth given hpl leave enron fold ill start aeps credit group roche accept gtc execpt crucial collateral threshold suggest language comments lee forwarded lee l papayotihouect pm radigan william j purcparsippany williamjradiganrochecom pm leelpapayotienroncom leelpapayotienroncom cc griffith bob procfreeport bobgriffithrochecom subject proposed contract language lee presently approved following paragraph regards hedging responsibility natural gas suppliers lock prices futures buying paragraph acceptable lieu article hpls terms conditions financial responsibility event hpls sole good faith business judgment exercised manner consistent general commercial standards hpl reasonable grounds insecurity rvis ability perform obligations agreement hpl demand adequate assurance performance rvi adequate assurance shall mean limited sufficient security form term reasonably acceptable hpl including limited standby irrevocable letter credit rvi fails deliver adequate assurance business days following receipt written request hpl rvi shall considered default agreement similarly event rvis sole good faith business judgment exercised manner consistent general commercial standards rvi reasonable grounds insecurity hpls ability perform obligations agreement rvi demand adequate assurance performance hpl adequate assurance shall mean limited sufficient security form term reasonably acceptable rvi including limited standby irrevocable letter credit hpl fails deliver adequate assurance business days following receipt written request rvi hpl shall considered default agreement original message leelpapayotienroncom sent friday pm wiilliam radigan cc bob griffith subject proposed contract language mr radigan developed language required able enter fixed price transaction freeport plant existing physical contract older format proved cumbersome modify enter new agreement fixed price volume follows attached file rochegtccrfmdoc volumes fixed price volumes continue flow existing agreement new contract volumes meter dicsuss chance review lee papayoti,0,Meeting Feedback,Finance / Budget
FW Payment of GE Invoice,kay id like hold payment invoice receive consent ge update original message walker rebecca sent wednesday june jacoby ben cc booth chris dennis tonya clark catherine edmonds marcus subject payment ge invoice ben turbopark funds request payments month needs submitted tuesday june th request covers period june th july th planning pay mm invoice ge time period accounting request funds sure payment better request funds case payment treated actual month backed advance month let know course action like,0,Meeting Feedback,Finance / Budget
NESA HEA nd Annual Charity Golf Tournament,nesa hea nd annual charity golf tournament held monday march champions golf club houston texas registration sponsorship information attached word documents contact nesa headquarters problems attached files download information web site   invite letter new sponsorsdoc invite letter sponsor registration formdoc invite letter new sponsorsdoc invite letter sponsor registration formdoc,0,Meeting Feedback,Legal / Compliance
Gas Accord II Presentations from October Workshop,confidential settlement material cpuc rule gas accord ii rule list attached electronic versions presentations october gas accord ii workshop reminder workshop tuesday november wednesday november plan start sessions little earlier topics demandsupply forecasts supply reliability capital expenditure forecasts direct connects local transmission rate design options provide hours day present views issues andor options thank participation gas accord ii workshops feel free contact questions concerns suggestions frank lindh ray williams attorney director frlpgecom rdwpgecom balancing workshopppt transaction information workshopppt open season rules workshopppt core procurement workshopppt core aggregation workshopppt agenda workshopdoc balancing workshopppt transaction information workshopppt open season rules workshopppt core procurement workshopppt core aggregation workshopppt agenda workshopdoc,0,Meeting Feedback,Legal / Compliance
FW UBSW Orientation Thursday For those that did not attend the Houstonian Sessions,filled forms session attend thursday instead trying figure ina original message clyatt julie behalf davies neil sentmonday february pm toadamik darren adams jacqueline p ahsan habib alexander kim d allen diana allen phillip k althaus jason amador susan aman aman ullah anastas sherry arellano fabian dan arumbakkam ravi austin chr aybar luis baker natalie balasundaram arun ballinger ted ballme r charles barber michael bass eric basu nilay baumbach david baxt er bryce behney chris belt cedric beyer troy bhatia randy black tamara jae bode gary brawner sandra f brennan ryan breslau craig buckley karen bulbes victor burgess simon cashin janine castillo m ichael cheng john christiansen suzanne cioffi diana clause kristen clyatt julie coles frank cox paige cummings david curless aman da davies neil deleon roberto devereaux janet dietrich dan dolan michael dziadek keith elliott clay ermis frank ewing linda j fitz patrick amy frihart bryant gay randall l gichana doug gilbert geo rge n giron darron c gossett jeffrey c grigsby mike gubser marli n guerra claudia hall joe hall mark hanson kristen j hillis kimb erly hogan irena d holst keith hungerford james jacobs charles ja mes matthew jaquet tammy jarrett anthony johnston jamey jones bra d jones monte kaiser jared kandavelushivshankar keiser kam knox larkin brian lavorato john le rick lenhart matthew link kath y loibl kori love phillip m maggi mike marcinkowski danielle mart thomas larry mcauliffe bob mckay jonathan mclaughlin jr errol mcnair darren mcnair jason mendel shelly mendoza genaro mil ler stephanie mills bruce mims patrice l moore kevin g muschar d aniel myers donnie nash acey neal scott oh john olney matthew ol sen michael oquinn kari orourke ryan otto charles h oxley david palmer b scott perich stephen pinion richard qavi faheem quigley dutch rangel ina ray edward reitmeyer jay rhodes trey ring andre rode tina rub jenny rybarski amanda schoppe tammie severson rus s shipos jennifer shishido scott shively hunter s shortt steve sh upak john slone jeanie smith bruce smith mathew south steven p s prowls cathy staggs micah steiner david storey geoff sullivan patt taylor john taylor joseph thelen todd tholt jane m thompson njamin tiner brent townsend judy tycholiz barry uribe carlos valde s john van arsdall leah vargas laura vickers frank videtto melissa vuittonet laura ward kim s houston weldon v charles werner jon whitehurst kevin williams jason trading winfree oneal d worthing ashley young becky zhang eddie subjectubsw orientation thursday did attend h oustonian sessions date thursday february th location orientation split sessions divided alphaorder ses sions run pm pm pm encourage attend designated session valuable infor mation presented opportunity answers questions speed things tomorrow filing attached forms alternat ively complete session letters k pm session letters lz reply email attending regards neil davies,0,Meeting Feedback,HR / Personal
Hi,leaving weeks pretty soon shit nice timing winter chris ill think snow im golf course cd,0,Meeting Feedback,HR / Personal
Operations Integration Issues Update for February,attached updated version operations integration issues list houstonportland office christina valdez enron net works llc phone fax christinavaldezenroncom,0,Meeting Feedback,HR / Personal
FW PGE BANKRUPTCY CASE,original message enron announcementscorpenronenron behalf donna lowry sr director rac complianceenron sent wednesday june pm pge listenron subject pge bankruptcy case important aware enron corp member official unsecured creditors committee appointed pacific gas electric company bankruptcy case michael tribolet risk assessment control group enrons designated representative committee assisted lisa mellencamp enron north america corp legal group advised restricted disclosing certain information receive attached ethical wall procedures regarding confidential information enron receive member committee important read procedures promptly print employee certification attached sign return employee certification compliance department directed,0,Meeting Feedback,Legal / Compliance
HBS Boat Cruise REMINDER,reservation deadline october boat cruise extended time space available wont miss fun complete information make reservation today hbs club sponsoring event star cruiser foot luxury entertainment yacht bring spouse guest enjoy evening dinner music sunset lights kemah date saturday october time pm pm boarding pm pm cruise place star fleet marina grove road kemah tx cost platinum members charge guests gold members guests silver members guests covers dinner beerwine bar cruise rsvp reservations required pm october email dottiekerrsolutionscom phone fax  learn star cruiser visit  reservation saturday october evening star cruiser member guest platinum members charge guests gold members guests silver members guests payment method check credit card file credit card visa mc number exp date cash check enclosed reservations required reservations accepted pm october fax form email dottiekerrsolutionscom dottie kerr dottiekerrsolutionscom administrator harvard business school club houston,0,Meeting Feedback,Finance / Budget
Yes Walters Column highlights CPUC Killing of Longterm contracts in,word getting sue mara enron corp tel fax forwarded susan j maranaenron sue smaraenroncom smara smaraenroncom cc subject capitol alert dan walters political financial mischief s lide quietly annual state budget message emailed sacbeecom dan walters political financial mischief slide quietly annual state budget published july wholesale energy prices began soar year california utilities sought relief volatile spot market including authority negotiate longterm supply contracts early june state public utilities commission voted wi th puc president loretta lynch strong dissent allow longterm power purchases outside california power exchange permissible source days later slipped complex multipart related remainder story  advertisement story sent sacbeecom copyright sacramento bee dan walters political financial mischief slide quietly annual state budget published july wholesale energy prices began soar year california utilities sought relief volatile spot market including authority negotiate longterm supply contracts early june state public utilities commission voted puc president loretta lynch strong dissent allow longterm power purchases outside california power exchange permissible source days later slipped complex multipart related rest story  copyright sacramento bee,0,Meeting Feedback,Finance / Budget
Highlights of Executive Summary by KPMG CPUC Audit Report on Edison,forwarded phillip k allenhouect susan j maraenron alan comnespdxectect angela schwarzhoueesees beverly adenhoueesees votawhoueesees brenda barredahoueesees carol moffetthoueesees cathy corbinhoueesees chris h fosterhouectect christina liscanohoueesees christopher f calgerpdxectect craig h sutterhoueesees dan leffhoueesees debora whiteheadhoueesees dennis benevideshoueesees don blackhoueesees dorothy youngbloodhouectect douglas huthhoueesees edward sackscorpenronenron eric melvinhoueesees erika duprehoueesees evan hugheshoueesees fran deltorohoueesees frank w vickershouectect gayle w muenchhoueesees ginger dernehlnaenronenron gordon savagehoueesees harold g buchananhoueesees harry kingerskinaenronenron iris waserhoueesee s james d steffesnaenronenron james w lewishoueesees james wrightwestern regionthe bentley companyexchange jeff messinahoueesee s jeremy blachmanhoueesees jess hewitthoueesees joe hartsoecorpenronenron karen dennecorpenronenron kathy basshoueesees kathy dodgenhoueesees ken gustafsonhoueesees kevi n hugheshoueesees leasa lopezhoueesees leticia botellohoueesees mark s mullerhoueesees marsha suggshoueesees marty sundehoueesee s meredith m egglestonhoueesees michael etringerhouectect michael mannhoueesees michelle d cisneroshouectect mike m smithhoueesees mpalmerenroncom neil bresnanhoueesees neil honghoueesees paul kaufmanpdxectect paula warrenhoueesees richard l zdunkewiczhoueesees richard leiberthoueesees richard shapironaenronenron rita hennessynaenronenron robert badeerhouectect roger yangsfoeesees rosalinda tijerinahoueesees sandra mccubbinnaenronenron sarah novoselcorpenronenron scott gahnhoueesees scott stonesshoueesees sharon dickhoueesees skeanenroncom susan j maranaenronenron tanya lesliehoueesees tas ha lairhoueesees ted murphyhouectect terri greenleenaenronenron ti beldenhouectect tony spruiellhoueesees vicki sharphoueesees vladimir gornyhouectect wanda curryhoueesees william s bradfordhouectect jubran whalanhoueesees trileyenroncom richard b sandershouectect robert c williamsenrondevelopmentenrondevelopment dwatkissbracepattcom rcarrollbracepattcom donna fultoncorpenronenron gfergusbrobeckcom kathryn corballycorpenronenron bruno gaillardeuenronenron linda robertsonnaenronenron phillip k allenhouectect ren lazurewestern regionthe bentley companyexchange michael triboletcorpenronenron phillip k allenhouectect christian yoderhouectect richard b sandershouectect jklauberllgmcom tamara johnsonhoueesees robert c williamsenrondevelopmentenrondevelopment cc subject highlights executive summary kpmg cpuc audit report edison forwarded susan j maranaenron daniel douglass douglassarterhaddencom barbaraklemstineapsccom berryapxcom dcazaletapxcom billrcalpinecom jackpcalpinecom glwaascalpxcom kenczarneckicalpxcom gavaughndukeenergycom rjhickokdukeenergycom gtbldynegycom jmpadynegycom jdasovicenroncom susanjmaraenroncom tamarajohnsonenroncom curthattongenpgecom foothilllminet camiessnnewwestenergycom jcgardinnewwestenergycom jsmollonnewwestenergycom rsnicholnewwestenergycom curtislkeblerreliantenergycom rllamkinseiworldwidecom cc subject cpuc audit report edison following highlights executive summary kpmg aud report southern california edison cash needs highlights sces original cash forecast dated december projects com plete cash depletion date february sce instituted program cash conservation includes suspension certain obligation s measures based daily cash forecasts cash conservation activities sces available cash improved january original estimate million billion actual cash flow given cash conservation activities extends cash depletion date ii credit relationships highlights sce exercised available lines credit able extend renew credit present additional sources credit open sce sces loan agreements provide specific clauses respect defau lt generally agreements provide debt immediately nd payable sces utility plant assets used secure outstanding mortgage bond indebtedness statutory capacity issue indebtedness feasible credit ratings agencies downgraded sces credit ratings rated indebtedness solid corporate ratings investment grade issues weeks iii energy cost scenarios highlights report section uses different cpuc supplied assumptions assess various price scenarios sces projected cash depletion dates scenarios sce positive cash balance march iv cost containment initiatives highlights sce adopted million cost reduction plan year plan consists operation maintenance component capital improvement component follows millions operating maintenance costs capital improvement costs total plan provides parttime contract positions eliminated approximately total staff reduction coming fr om contract employees plan capital improvement costs totaling million deferred future date sce dividends common shareholder preferred stockholders executive bonuses suspended resulting additional cost savings approximately million v accounting mechanisms track stranded cost recovery tra tcba activity highlights december sce reported overcollected balance transition cost balancing account tcba account million includes estimated market valuation hydro facilities million accelerated revenues million december sce reported undercollected balance sces transition account tra billion normally generation memorandum accounts credited tcba th e end year current generation memorandum account credit balance billion credited tcba pursuant d costs purchasing generation tracked tra revenues generation tracked tcba costs revenues tracked separately net liability procuring electric power expressed tra overstated turn proposal review cpuc asked comment proposal tu rn change certain aspects regulatory accounting transition asset s comments summarized follows proposal direct impact cash flows sce t directly generate use cash proposals impact sces balance sheet initially sh ift costs regulatory assets turns proposal recognizes costs procuring power revenues generating power tracked separately undercollection tra overstated vi flow funds analysis highlights years sce generated net income billion positive cash flow operations billion time period sce paid dividends distributions parent edison international approximately billion edison international used funds dividends pay dividends shareholders billion repurchased shares outstanding comm stock billion remaining funds used administrati ve general costs investments corporate purposes viii earnings california affiliates sces payments power affiliates approximately million annually remained relatively stable payments increased approximately million increase correlates increase market prices natural gas period copy report available commission website  dan,0,Meeting Feedback,Finance / Budget
HR Position,hey im going resume girl ill let know follow mat forwarded matt smithnaenron pm jeanie sloneenronenronxgate pm matt smithnaenronenron cc subject hr position analystassociate program hr mba graduate degree consider assoc program fit analyst program forward resume pass contact karen buckley resume karen lead recruiterprogram manager let know need info original message smith matt sent thursday april slone jeanie subject hr position jeanie friend interested hr position enron spoke rotational program hr familiar know program forward resume hr related position general years experience smaller firm think shes looking company established hr department like enron knowledge specific positions trying ena info helpful,0,Meeting Feedback,HR / Personal
FW DOG GONE,forwarded phillip m lovehouect elizabeth soto irena d hoganhouectect brandee jacksonnaenronenron heather choatehouectect kori loiblhouectect sherry dawsonnaenronenron alejandra chaveznaenronenron kulvinder fowlernaenronenron kyle r lillyhouectect alexander r gonzalesnaenronenron andrea r guillenhouectect cecilia rodrigueznaenronenron hannah ortizhouectect brenda barredahoueesees phenicia olivierhouectect maria sandovalhouectect yolanda penacorpenronenron chantelle villanuevahouectect melissa rodriguezhouectect sheetal patelhouectect purvi patelhouectect cassandra s duttonhouectect bcastrosssscom catrinasvtncom phillip m lovehouectect carole franknaenronenron cc subject fw dog gone forwarded elizabeth sotohouect josiecarrilloreliantenergycom elizabethsotoenroncom alexanderrgonzalesenroncom imeldacondadoreliantenergycom mistymedwardsreliantenergycom cc subject fw dog gone forwarded josie carrillohlphouind garcia yvette yvettegarciawilcomcom josie carrillo josiecarrilloreliantenergycom ceci gonzalez ceciliaamigotruckcom cc subject fw dog gone subject fw dog gone grannylmpg attached file grannylmpg grannylmpg,0,Meeting Feedback,Legal / Compliance
Born to Sell,sending billion jokes year worlds largest daily joke network june quote day serial killers say heard voices dont voice say dancing bake cake dexter madison jokemasters note writing prelakers vs sixers friend having bunch guys place likely games feel guys night necessary going needed neathrdrallike night cold beer hot wings yelling television set jockmaster sportsjokes think guy interesting big sports series time pinched brain thing simply belched figure send favorite email friend respond feedbackhumornetworkcom todays joke born sell young guy texas moves california goes big mega department store looking job manager says sales experience kid says yeah salesman home texas boss liked kid gave job start tomorrow ill come close did day job rough got store locked boss came sales did make today boss asked kid says boss says just sales people average sales day sale kid says boss says hell did sell kid says sold small fish hook sold medium fish hook sold larger fish hook sold new fishing rod asked going fishing said coast told going need boat went boat department sold twin engine chris craft said didnt think honda civic pull took automotive department sold x blazer boss said guy came buy fish hook sold boat truck kid says came buy box tampons wife said weekends shot fishing submitted becky pic day gift laughter send email friend friends email joke note pic quote want laughs subscribe free click receive daily funnies various joke lists just easy form click received email signed agreed receive jokeoftheday humor network dont want letters anymore click send blank email optanetwork llcthehumornetwork original material compilation material rights reserved permission granted redistribution humor network jokes cartoons photos material expressed written permission humor network info licensing content email licensinghumornetworkcom logo,0,Meeting Feedback,HR / Personal
Length offpeak at Palo Verde,length pv day sunday light load monday mst sunday monday energy parked pnm pv cost long position manager route sale buyresale make sale stwbom book pacific time require creativity questions good luck,0,Meeting Feedback,Finance / Budget
Donahue Ernst Young,happy meet want meet jim derrick mark peter keohane pm mark e haedickehouectect cc subject donahue ernst young know donahue ey doing work lately far retail regulatory general corporate fronts believe ability work broader capacity ey generally best situated coming deregulated power market ey set systems toronto donahue ey currently assisting wholesale ontario energy finance corporation deregulation offshoots ontario hydro finalizing nug management arrangement strong tax able assist nonecc business units global markets ees canadian initiatives representatives firm considering trip houston spring asked visit enron houston told pleased timing right date let know set peter,0,Meeting Feedback,Finance / Budget
Flow volumes at Oxy Gladewater Meter,bob volume day referenced meter dont deal allocate october flow began hitting exception report advise mary,0,Meeting Feedback,Report / Summary
eThink About It,week new ideas posted idea vault routed review including enron airline services enron office locator use geostationary satellites read meters success story share tony pickett suggested enron compile glossary terms abbreviations acronyms industry jargon make available online new hire network stepped make idea reality visit thinkbank today drop idea idea vault week releasing new version espeak audience perspective changes subtle weve added features time stamp posting ability format responses weve speakers photo inside transcript window case forget whos hosting event espeaks perspective weve smoothed things scenes hope youll look new site let know think espeak place thursday mar houston time mark koenig executive vp investor relations discuss enrons investor relations function provide stock update hey check cool stainless steel mug cool mouse pad mug mouse pad available signature shop online lots really neat ethink stuff buy today ethinkenroncom,0,Meeting Feedback,HR / Personal
,new value tabs genco valuation model start payment turbine changed working kevin presto nailed evergything date doing check property tax numbers,0,Meeting Feedback,Finance / Budget
EnronOnline Credit Derivatives Propsoed Reference Entities,maria look list reference entities attached memo doubt reason knock listed entities based legal controversies worth check attached memo looks like likely reason disqualify entity credit problems commercial issue im bind today rest week helpful pick ball absence mike results analysis,0,Meeting Feedback,Legal / Compliance
FW EOL and Clickpaper Approvals,original message lebrocq wendi sent thursday september pm lambert karen jones tana schott samuel reves brant brackett debbie r clark cynthia enron europe global counterparty sever stephanie moran tom clark claudia bradford william s lees lisa fayett juana morse jana le trang maley paul oday karen rohauer tanya lombardi kelly lindsay brian eol center hare d heffernan amy lafuze molly clark danny panus stephanie mandola teresa ebow amber arnold thu pham coleman tandra campbell lesli lebrocq wendi taylor mark e legal lauer kara thakkar ami piotrowski joseph banner kimberly mcquade jennifer george fraisy guillory michael rajaram aparna monterrey maribel curry ken subject eol clickpaper approvals attached regards wendi lebrocq,0,Meeting Feedback,Legal / Compliance
FW Engine analysis,darrell jerry analyst report matt reason outage requests station week,0,Meeting Feedback,Report / Summary
MARGIN RATE CHANGE WESTERN ELECTRICITY FUTURES CONTRACTS,forwarded tana joneshouect pm exchangeinfonymexcom pm tanajonesenroncom cc subject margin rate change western electricity futures contracts notice february nymex members member firms nymex clearing firms nymex operations managers neal wolkoff executive vice president subject margin rate change western electricity futures contracts effective date tuesday february close business futures contracts california oregon border palo verde midcolumbia electricity futures contract months months rate change nymex division margins california oregon border palo verde midcolumbia electricity futures contracts clearing member maintenance margin old new member customer initial margin old new nonmember customer initial margin old new questions regarding changes contact arthur mccoy joe sanguedolce notice supersedes previous notices regarding outright margins nymex california oregon border palo verde midcolumbia electricity futures contracts click link indicate received email  note click line happens copy text quotes open internet browser paste web site address press return,0,Meeting Feedback,Legal / Compliance
Bluebonnet Express Ride,ride packets available cube eb today like pick race packet list send email packets picked bring packets ride sunday,0,Meeting Feedback,Legal / Compliance
Please Read Resolution Center to Disconnect Toll Free number,resolution center decommissioning numbers january continue contact resolution center toll free using following steps contact enw resolution center enron select transfer extension enron building select transferred helpdesk following options available tollfree number connect voice directory transfer extension enron building access voicemail enron building transfer allen center transfer omaha transfer modem fax prefix speak enron operator transfer fax machine message center transfer aviation leave confidential message enron chairman contact resolution center assistance ets customers continue contact ets solution centerhouston ets solution centeromaha,0,Meeting Feedback,HR / Personal
Thursday Game Transaction Notice,check message board try luck ive got talented receivers holt pathon muhammed t taylor need establish points weeks rb position date received offers like pinkston price garner mack allen flutie getting bad im actually considering guys just spawn new life team certainly need rb help use qb kevin klynpdqnet transactions completed thursday game thursday night game starts thursday transactions accepted players playing game thursday remember change lineups game include exclude make changes lineup thursday players play game thursday,0,Meeting Feedback,Finance / Budget
Adopt a Kid Reminder,enron kids donation small contact stephanie truss martha keesler make cash donation deadline making cash donation thursday december ews legal gordon elementary school adoption,0,Meeting Feedback,Legal / Compliance
FW where does our energy come from,original message curt pringle sent monday july pm subject does energy come assemblyman leonards recent enewsletter contained following information think interesting consider light present energy situation california comments present governor regards curt really powers california governor davis secret believes swashbuckling cattle rustling energy barons texas blame energy crisis texas power companies make good bad guys governors transparent kabuki theater blame leonard letter readers interested really provides power californians following list illustrates percentage power supply group generators provides editors note percentages rounded resulting slightly pacific gas electric california southern california edison california imported power northwest including canada los angeles department water power california imported power southwest state federal agencies aes power company municipal utilities irrigation districts reliant power company duke power company southern power company dynegy power company sacramento municipal utility district california calpine power company san diego gas electric california noted list dynegy reliant texas companies represent total californias energy portfolio comparison georgiabased southern mirant virginias aes north carolinas duke energy share energy portfolio list does focus gaming market provider listed benefited skyrocketing energy prices trying identify power producers used market power ring high profits californians include power producers investigations state federal agencies independent power companies utilities municipal utilities local irrigation districts guilty gouging consumers daviss focusing companies texas does state disservice misrepresentation fact curt pringle curt pringle assoc dupont drive irvine ca fax,0,Meeting Feedback,Finance / Budget
Citibank NAENA Master Agreement and CSA,sara yes carol went amendments decided remove amendment pertaining fx transactions forward threshold guarantee changes heard latest draft stephen thatcher needed change enron north america corp copy latest draft need contact stephen eager executed open time thank molly sara shackleton molly harrishouectect cc tanya rohauerhouectect shane dallmannenrondevelopmentenrondevelopment subject citibank naena master agreement csa molly left voice mail morning citibank file reflects received correspondence citibank carol st clair propsed revisions existing isda master agreement including changes csa agreed changes australia office inquiring status master agreement,0,Meeting Feedback,HR / Personal
